date,silica_concentrate
2017-07-26 04:00:00,2.149999999999995
2017-05-31 21:00:00,2.4100000000000086
2017-05-14 12:00:00,1.910000000000004
2017-07-09 19:00:00,1.4699999999999998
2017-07-19 17:00:00,2.339999999999992
2017-06-02 04:00:00,2.2599999999999945
2017-05-06 12:00:00,5.200000000000016
2017-06-02 16:00:00,1.8500000000000023
2017-05-02 06:00:00,3.5
2017-06-30 17:00:00,1.7799999999999951
2017-06-26 00:00:00,3.9
2017-07-07 10:00:00,2.269999999999996
2017-07-08 03:00:00,1.289999999999998
2017-06-14 08:00:00,2.7200000000000126
2017-06-02 23:00:00,1.0900000000000027
2017-07-29 11:00:00,4.330000000000011
2017-07-18 22:00:00,2.0699999999999945
2017-06-01 15:00:00,1.219999999999999
2017-04-24 10:00:00,4.305372867910556
